City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Buala,SB,79.11,light rain,-8.145,159.5921,Maringe Lagoon Lodge
212,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
213,Peniche,PT,68.72,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
214,Ilhabela,BR,62.74,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
215,Quatre Cocos,MU,69.91,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
216,Trat,TH,76.3,overcast clouds,12.5,102.5,สวนหนิง-อัศ
218,Zatoka,UA,72.14,overcast clouds,46.0725,30.4654,"База отдыха ""Солнечная"""
221,Popondetta,PG,73.72,broken clouds,-8.7537,148.2534,Timos Transit House
226,Aden,YE,83.62,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
227,Camana,PE,65.5,broken clouds,-16.6228,-72.7111,Hostal Morales
228,Victoria,HK,83.32,broken clouds,22.2855,114.1577,Mini Hotel Central
229,La Sarre,CA,70.45,clear sky,48.8002,-79.1996,Motel Villa Mon Repos
231,Agnibilekrou,CI,71.67,broken clouds,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
232,Sovetskiy,RU,64.18,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
234,Paciran,ID,76.73,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
235,Lompoc,US,87.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
236,Malakal,SS,73.17,overcast clouds,9.5334,31.6605,Nile Palace Hotel
237,Marzuq,YE,84.09,broken clouds,14.4,46.4667,
239,Prince Rupert,CA,60.89,moderate rain,54.3161,-130.3201,Crest Hotel
241,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
242,Koani,TZ,76.62,few clouds,-6.1333,39.2833,Northcliff BnB
243,Puri,IN,85.37,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
244,Korla,CN,78.35,broken clouds,41.7597,86.1469,Gulisitan Hotel
245,Omurtag,BG,62.55,scattered clouds,43.1,26.4167,Zamak Inter Hotel
246,Gunjur,GM,80.67,thunderstorm,13.2019,-16.7339,Kuba Lodge
247,Maragogi,BR,73.04,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
248,Luanda,AO,73.4,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
251,Jaciara,BR,84.94,broken clouds,-15.9653,-54.9683,Taba Hotel
252,Yellowknife,CA,64.33,overcast clouds,62.456,-114.3525,The Explorer Hotel
254,Novooleksiyivka,UA,70.5,scattered clouds,46.2269,34.6428,Комнаты отдыха
256,Kathu,TH,82.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
257,Jiangyou,CN,74.41,light rain,31.7667,104.7167,Shangping Shuyuan Inn
258,Itoman,JP,81.37,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
259,Nantucket,US,76.6,clear sky,41.2835,-70.0995,Jared Coffin House
260,Broome,US,78.66,scattered clouds,42.2506,-75.833,Chenango Valley State Park
262,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
263,Merauke,ID,75.94,overcast clouds,-8.4667,140.3333,
265,Fomboni,KM,75.63,clear sky,-12.28,43.7425,Auberge les abou
266,Paita,PE,75.76,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
268,Sola,VU,77.36,broken clouds,-13.8833,167.55,Leumerus Bungalows
269,Ledyard,US,77.41,clear sky,41.4398,-72.0142,Stonecroft Country Inn
270,Wajir,KE,78.04,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
271,Chunhuhub,MX,83.19,overcast clouds,19.55,-88.6833,
272,Horconcitos,PA,70.9,overcast clouds,8.4682,-81.8007,KAFETE S.A
274,Cozumel,MX,89.11,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
275,Kyaikto,MM,76.3,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
276,Ca Mau,VN,77.94,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
277,Yasnyy,RU,75.56,few clouds,51.0333,59.8742,Gostinitsa
279,Belmonte,BR,72.1,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
280,Allapalli,IN,73.6,broken clouds,19.4167,80.0667,Hotel IK Residency
281,San Rafael,AR,66.56,clear sky,-34.6177,-68.3301,Hotel San Rafael
282,Clarksburg,US,80.91,broken clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
284,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
285,Keti Bandar,PK,81.79,overcast clouds,24.1447,67.4497,Haji laloo memon house
286,Hay River,CA,66.18,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
287,Gat,IL,87.4,clear sky,31.61,34.7642,OlusHome
289,Loandjili,CG,75.31,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
291,Qandala,SO,88.81,broken clouds,11.472,49.8728,
292,Kokkola,FI,61.93,clear sky,63.8385,23.1307,Hotel Kokkola
