City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Ibateguara,BR,2021-07-29 14:48:36,-8.9725,-35.9394,78.71,61,16,5.41
127,Victoria,HK,2021-07-29 14:48:36,22.2855,114.1577,86.38,88,99,1.01
128,Vila Velha,BR,2021-07-29 14:48:37,-20.3297,-40.2925,64.35,82,75,18.41
129,Kuryk,KZ,2021-07-29 14:48:37,43.2,51.65,81.12,52,100,17.02
130,Lebu,CL,2021-07-29 14:48:11,-37.6167,-73.65,54.27,58,0,2.98
131,Vangaindrano,MG,2021-07-29 14:48:38,-23.35,47.6,67.84,84,94,9.28
132,Inhambane,MZ,2021-07-29 14:48:38,-23.865,35.3833,77.0,50,0,8.99
133,Marawi,PH,2021-07-29 14:48:38,7.9986,124.2928,70.66,86,98,3.8
134,Domoni,KM,2021-07-29 14:48:39,-12.2569,44.5319,75.88,66,0,12.73
135,Changde,CN,2021-07-29 14:48:39,29.0464,111.6783,82.92,82,0,2.17
136,Deep River,CA,2021-07-29 14:48:39,46.1001,-77.4995,62.35,99,100,5.23
137,Port Lincoln,AU,2021-07-29 14:48:40,-34.7333,135.8667,57.58,60,89,13.0
138,Grand Gaube,MU,2021-07-29 14:48:40,-20.0064,57.6608,71.38,72,82,11.99
139,Kaitangata,NZ,2021-07-29 14:48:41,-46.2817,169.8464,41.68,90,71,5.57
140,Zhigalovo,RU,2021-07-29 14:48:41,54.8097,105.1578,61.7,97,71,4.88
141,Eureka,US,2021-07-29 14:48:41,40.8021,-124.1637,54.21,76,5,3.71
142,Naze,JP,2021-07-29 14:48:42,28.3667,129.4833,77.61,90,4,2.35
143,Cockburn Town,TC,2021-07-29 14:48:42,21.4612,-71.1419,87.76,58,40,11.5
144,East London,ZA,2021-07-29 14:48:42,-33.0153,27.9116,63.54,67,0,23.02
145,Balaka,MW,2021-07-29 14:48:43,-14.9793,34.9558,74.82,37,30,6.26
146,Listvyanka,RU,2021-07-29 14:48:43,51.8535,104.8693,54.9,96,100,11.41
147,Gulfport,US,2021-07-29 14:45:44,30.3674,-89.0928,87.85,79,1,4.61
148,Angoram,PG,2021-07-29 14:48:44,-4.0625,144.0661,74.61,99,96,1.79
149,Aklavik,CA,2021-07-29 14:48:44,68.2191,-135.0107,59.72,94,90,3.44
